english,filipino,kept_english
"2FA","2FA",true
"A call with that Vessel Visit code already exists.","May call na gamit ang Vessel Visit code na iyan.",false
"A consignee needs","Ang isang consignee ay kailangan ng",false
"A consignee with that name or code already exists.","May consignee na sa pangalan o code na iyan.",false
"A KTC admin is verifying your account. You can continue filing job orders, but they’re held until you’re verified. For more information, contact customer service at","May KTC admin na nagve-verify ng iyong account. Pwede kang magpatuloy sa pag-file ng job orders, pero naka-hold sila hanggang ma-verify ka. Para sa karagdagang impormasyon, makipag-ugnayan sa customer service sa",false
"A valid ID is required before you can approve","Kailangan ng valid ID bago mo ma-approve",false
"Account approvals","Account approvals",true
"Account approvals + dashboard","Account approvals + dashboard",true
"Account approved","Aprubado ang account",false
"Account name:","Account name:",true
"Account no.:","Account no.:",true
"Account suspended","Naka-suspend ang account",false
"Accounts awaiting approval","Mga account na naghihintay ng approval",false
"Action needed","May kailangang gawin",false
"ACTION NEEDED","MAY KAILANGANG GAWIN",false
"active","aktibo",false
"Active","Active",true
"Activity Log","Activity Log",true
"actor {id}…","actor {id}…",true
"Actual Arrival","Actual Arrival",true
"Add at least one container.","Magdagdag ng kahit isang container.",false
"Add call","Magdagdag ng call",false
"Add consignee","Magdagdag ng consignee",false
"Add each container number and the service it needs — or Bulk paste a whole list at once. Then submit; you'll get a serving number per service line.","Idagdag ang bawat container number at ang service na kailangan nito — o Bulk paste ang buong listahan nang sabay-sabay. Tapos i-submit; makakakuha ka ng serving number kada service line.",false
"Add to list","Idagdag sa listahan",false
"Add your containers","Idagdag ang iyong mga container",false
"Added {code} – {name} (pending approval).","Naidagdag ang {code} – {name} (naghihintay ng approval).",false
"Added {n} container(s), skipped {d} duplicate(s).","Nadagdag ang {n} container, ni-skip ang {d} duplicate.",false
"Added {n} container(s).","Nadagdag ang {n} container.",false
"Added consignees are","Ang mga naidagdag na consignee ay",false
"Address","Address",true
"address, TIN, and an attached 2303","address, TIN, at naka-attach na 2303",false
"Adds a 6-digit code from an authenticator app (Google Authenticator, Authy, 1Password…) to your sign-in. Once enabled it's enforced","Nagdaragdag ng 6-digit code mula sa authenticator app (Google Authenticator, Authy, 1Password…) sa iyong pag-sign in. Kapag naka-enable, ipinapatupad ito",false
"admin","admin",true
"Admin","Admin",true
"Admin / service fee","Admin / service fee",true
"Admin access granted to {target}.","Naibigay na ang admin access kay {target}.",false
"After you file, follow every order here — live status, your serving number, View charges & pay, and Print slip once approved.","Pagkatapos mag-file, sundan ang bawat order dito — live na status, ang serving number mo, charges, payment at print slip kapag ma-approve na.",false
"All","Lahat",false
"All registered customer accounts and their status. Approve/reject pending ones under Approvals; suspend or reactivate approved accounts here.","Lahat ng registered na customer accounts at ang status nila. I-approve/i-reject ang mga naghihintay sa ilalim ng Approvals; i-suspend o i-reactivate ang mga aprubadong account dito.",false
"Allow the customer to","Payagan ang customer na",false
"Already have an account? ","May account ka na? ",false
"and consent to KTC collecting and processing my valid ID for verification under the Data Privacy Act (R.A. 10173).","at pumapayag akong kolektahin at iproseso ng KTC ang aking valid ID para sa verification sa ilalim ng Data Privacy Act (R.A. 10173).",false
"and you’ll re-upload a valid ID for a KTC admin to re-verify. Job orders you file in the meantime are held until you’re re-approved.","at mag-uupload ka uli ng valid ID para i-re-verify ng KTC admin. Ang mga Job Order na ifa-file mo sa panahong iyon ay naka-hold muna hanggang ma-approve ka uli.",false
"Approvals","Approvals",true
"Approve","I-approve",false
"Approve & process","I-approve at iproseso",false
"Approved","Aprubado",false
"Approved · processing","Aprubado · pinoproseso",false
"Archived","Naka-archive",false
"archives completed + paid orders (Mon 00:30 PH)","ina-archive ang mga completed + paid na order (Lun 00:30 PH)",false
"Archives every completed order that has a Service Invoice number (= paid). Also runs automatically every Monday.","Ina-archive ang lahat ng tapos nang order na may Service Invoice number (= bayad na). Awtomatiko rin itong tumatakbo tuwing Lunes.",false
"Archiving…","Ina-archive…",false
"Are you still there?","Nandiyan ka pa ba?",false
"Arrival","Pagdating",false
"ARRIVAL","ARRIVAL",true
"As of {date} · {count} vessel(s)","Sa {date} · {count} na vessel",false
"Assess RPS","I-assess ang RPS",false
"Assess RPS (confirm X-ray / port-services moves)","I-assess ang RPS (i-confirm ang X-ray / port-services moves)",false
"Assess RPS (operations)","I-assess ang RPS (operations)",false
"assessed by operations — payable separately below.","tinasa ng operations — hiwalay na babayaran sa ibaba.",false
"auto","auto",true
"Back","Bumalik",false
"Back to Customers","Bumalik sa Customers",false
"Back to My Job Orders","Bumalik sa My Job Orders",false
"Background jobs, outgoing emails / BOC mirror calls, and client errors. The hourly watchdog emails the owner on failures.","Background jobs, outgoing emails / BOC mirror calls, at client errors. Ang hourly watchdog ay nag-e-email sa owner kapag may failure.",false
"Balance","Balance",true
"Balance due","Balance na babayaran",false
"Bank / GCash details + QR shown when a customer pays online. Leave fields blank to hide them.","Bank / GCash details + QR na ipinapakita kapag nagbayad online ang customer. Iwang blangko ang mga field para itago ang mga ito.",false
"Bank:","Bank:",true
"before it can be approved; only approved consignees are visible to customers.","bago ito ma-approve; ang aprubadong consignee lang ang nakikita ng mga customer.",false
"before trying again.","bago subukan ulit.",false
"Berth","Berth",true
"BERTH","BERTH",true
"BILLED","BILLED",true
"Billed on account — Billing Invoice No. {no}.","Naka-bill on account — Billing Invoice No. {no}.",false
"billed on credit","naka-bill sa credit",false
"Bulk import CSV (name, optional code)","Bulk import CSV (name, optional na code)",false
"Bulk paste container numbers","Bulk paste ng mga container number",false
"by {name}","ni {name}",false
"Calendar","Kalendaryo",false
"Call added.","Naidagdag ang call.",false
"Call updated.","Na-update ang call.",false
"Calls available for customers to file against.","Mga call na pwedeng pag-file-an ng mga customer.",false
"can’t be processed until you pass final verification","hindi mapoproseso hangga't hindi ka pumasa sa final verification",false
"Can’t be processed until you pass final verification — upload your valid ID, then a KTC admin verifies your account and it’s sent automatically.","Hindi maipoproseso hangga't di ka pumasa sa final verification — i-upload ang iyong valid ID, tapos ive-verify ng KTC admin ang account mo at awtomatiko itong masusumite.",false
"Can't scan? Enter this key manually:","Hindi ma-scan? I-type ang key na ito nang manual:",false
"Cancel","I-cancel",false
"Cancel edit","I-cancel ang edit",false
"Cancel this order","I-cancel ang order na ito",false
"Cancel this order? This can’t be undone.","I-cancel ang order na ito? Hindi na ito mababawi.",false
"cancelled","kanselado",false
"Cancelled","Kanselado",false
"Cancelling…","Kina-cancel…",false
"Cannot approve — no valid ID on file yet. Ask the customer to upload one first.","Hindi ma-approve — wala pang valid ID na naka-file. Pakiusapan muna ang customer na mag-upload.",false
"carry-overs to the front of the new week (Mon 00:15 PH)","inililipat ang mga carry-over sa unahan ng bagong linggo (Lun 00:15 PH)",false
"cashier","cashier",true
"Cashier","Cashier",true
"Change","Palitan",false
"Change name & re-verify","Palitan ang pangalan at mag-re-verify",false
"Changing your name needs re-verification","Kailangan ng re-verification kapag binago ang pangalan",false
"Charged per move when operations assesses a JO as needing RPS (VATable, added on top of the base). Amounts in ₱.","Sinisingil kada move kapag na-assess ng operations na kailangan ng RPS ang isang JO (VATable, idinaragdag sa base). Nasa ₱ ang halaga.",false
"Charges","Mga Singil",false
"Check a container / van or JO number","Mag-check ng container / van o JO number",false
"checker","checker",true
"Checker","Checker",true
"Checking…","Sinusuri…",false
"Checks automatically every minute","Awtomatikong nagche-check kada minuto",false
"Choose a clear photo or PDF — you can review it before submitting.","Pumili ng malinaw na larawan o PDF — pwede mong i-review bago i-submit.",false
"Choose a new password for your account.","Pumili ng bagong password para sa iyong account.",false
"Choose an outcome (the customer is told why):","Pumili ng outcome (sasabihin sa customer kung bakit):",false
"Choose the vessel & voyage from the current schedule. Not listed yet? Tick ""vessel not listed"" and type it — operations will match it to the call.","Piliin ang vessel at voyage mula sa kasalukuyang schedule. Wala pa sa listahan? I-tick ang ""vessel not listed"" at i-type ito — ima-match ito ng operations sa call.",false
"CLEARED","CLEARED",true
"Cleared for release","Cleared for release",true
"Client errors","Client errors",true
"Client errors — {n} in 24h","Mga client error — {n} sa 24h",false
"Close","Isara",false
"Code","Code",true
"Code (optional)","Code (optional)",true
"Code cannot be empty.","Hindi pwedeng walang laman ang code.",false
"Completed","Tapos na",false
"Compose a status message for Viber / SMS / Messenger","Gumawa ng status message para sa Viber / SMS / Messenger",false
"Confirm completed X-rays · look up a van's clearance before release.","I-confirm ang mga tapos na X-ray · tingnan ang clearance ng van bago i-release.",false
"Confirm new password","I-confirm ang bagong password",false
"Confirm RPS payment","I-confirm ang RPS payment",false
"Confirm suspension","I-confirm ang suspension",false
"Confirm X-ray done","I-confirm na tapos na ang X-ray",false
"Confirm X-ray done (checker station)","I-confirm na tapos na ang X-ray (checker station)",false
"Confirm X-ray done now ({time})?","I-confirm na tapos na ang X-ray ngayon ({time})?",false
"Confirm X-ray payment","I-confirm ang X-ray payment",false
"Confirmed by KTC.","Na-confirm ng KTC.",false
"Consignee","Consignee",true
"Consignee & entry","Consignee at entry",false
"Consignee name *","Pangalan ng consignee *",false
"Consignees","Consignees",true
"Consignees added but not yet approved. Tap to review and approve them so they're selectable when customers file.","Mga consignee na naidagdag pero hindi pa aprubado. I-tap para i-review at i-approve sila para mapili kapag nag-file ang mga customer.",false
"Consignees pending","Mga consignee na naghihintay",false
"Contact number","Contact number",true
"Contact number can’t be empty.","Hindi pwedeng walang laman ang contact number.",false
"Contact:","Contact:",true
"Container Details","Container Details",true
"Container number (e.g. ABCD1234567)","Container number (hal. ABCD1234567)",false
"Containers","Mga Container",false
"Containers per service","Container kada service",false
"Copies the message and opens Viber's forward screen — pick the customer's chat (paste if the text doesn't carry over)","Kinokopya ang message at binubuksan ang forward screen ng Viber — piliin ang chat ng customer (i-paste kung hindi nadala ang text)",false
"Copy message","Kopyahin ang message",false
"Corrected entry number (optional — currently {entry})","Itinamang entry number (opsyonal — kasalukuyang {entry})",false
"Corrected entry number (optional)","Itinamang entry number (opsyonal)",false
"Could not create job order.","Hindi ma-create ang Job Order.",false
"Could not generate the snapshot.","Hindi ma-generate ang snapshot.",false
"Could not load the file. Please try again.","Hindi ma-load ang file. Subukan ulit.",false
"Could not open the file.","Hindi mabuksan ang file.",false
"Could not start enrollment.","Hindi masimulan ang enrollment.",false
"Could not start the check.","Hindi masimulan ang check.",false
"Could not start the verification.","Hindi masimulan ang verification.",false
"Create account","Gumawa ng account",false
"Create one","Gumawa ng isa",false
"Create one on the","Gumawa ng isa sa",false
"Create staff","Gumawa ng staff",false
"Create staff account","Gumawa ng staff account",false
"current","kasalukuyan",false
"Current calls, berths & last free day","Mga kasalukuyang barko, berth at huling free day",false
"Current staff","Kasalukuyang staff",false
"Current vessel calls at KTC. Last free day is the last day of free storage (finish discharging + the line's free-days); after it, storage charges apply. Schedule is maintained by KTC operations — for reference only.","Mga kasalukuyang barko sa KTC. Ang huling free day ang huling araw ng libreng storage (tapos mag-discharge + ang free-days ng line); pagkatapos nito, may storage charges na. Pinapanatili ng KTC operations ang iskedyul — para sa rep-erensya lamang.",false
"Current:","Kasalukuyan:",false
"customer","customer",true
"Customer","Customer",true
"Customer Agreement (Terms & Conditions)","Kasunduan ng Customer (Mga Tuntunin at Kundisyon)",false
"Customer not found.","Hindi nahanap ang customer.",false
"Customer profile not found.","Hindi nahanap ang customer profile.",false
"Customer reply:","Sagot ng customer:",false
"Customer service:","Customer service:",true
"Customers","Customers",true
"Dashboard","Dashboard",true
"Dates must be YYYY-MM-DD or M/D/YYYY.","Ang mga petsa ay dapat YYYY-MM-DD o M/D/YYYY.",false
"Days since completion without a Service Invoice on file","Mga araw mula nang matapos na walang naka-file na Service Invoice",false
"Decided:","Napagdesisyunan:",false
"Delete","I-delete",false
"Delete (only possible while unused by any order)","I-delete (posible lang habang hindi pa nagagamit ng kahit anong order)",false
"Delete {code} – {name}?","I-delete ang {code} – {name}?",false
"Delete {service}","I-delete ang {service}",false
"Delete permanently?","I-delete nang permanente?",false
"delete?","i-delete?",false
"Deleted {code}.","Na-delete ang {code}.",false
"Deleting…","Dinidelete…",false
"Didn’t get it? You can resend in {t}. Check your spam folder too.","Hindi natanggap? Pwede mong i-resend sa {t}. Tingnan din ang spam folder mo.",false
"Don't have an account? ","Wala kang account? ",false
"Done","Tapos na",false
"Done 🚀","Tapos 🚀",false
"Draft","Draft",true
"Draft (no number yet)","Draft (wala pang number)",false
"Drag to reorder","I-drag para baguhin ang pagkakasunod",false
"Drives the vessel schedule's","Nagtatakda ng vessel schedule's",false
"e.g. 0917 123 4567","hal. 0917 123 4567",false
"e.g. C-0000012345","hal. C-0000012345",false
"e.g. Corrected the entry number — see below.","hal. Inayos ang entry number — tingnan sa ibaba.",false
"e.g. Duplicate of JO-000123.","hal. Duplicate ng JO-000123.",false
"e.g. Pending document re-verification.","hal. Naghihintay ng document re-verification.",false
"e.g. Please confirm the entry number — it doesn’t match the consignee.","hal. Paki-confirm ang entry number — hindi ito tugma sa consignee.",false
"e.g. Re-checked the container numbers with the shipping line.","hal. Na-recheck ko ang container numbers sa shipping line.",false
"e.g. TCLU1234567 or JO-000123","hal. TCLU1234567 o JO-000123",false
"Each line becomes a container row with the selected service — you can change any row's service afterward. Duplicates are skipped.","Bawat linya ay magiging container row na may napiling service — pwede mong palitan ang service ng kahit anong row pagkatapos. Ini-skip ang mga duplicate.",false
"Edit","I-edit",false
"Edit or update your personal details anytime. Changing your legal name needs re-verification by a KTC admin (since it's matched to your ID).","I-edit o i-update ang iyong personal details. Ang pagpapalit ng inyong legal name ay kailangan ng re-verification ng KTC admin.",false
"Email","Email",true
"Email address","Email address",true
"Email confirmed","Confirmed na ang email",false
"Email of a signed-up user","Email ng isang naka-sign up na user",false
"Email or username","Email o username",false
"Email:","Email:",true
"Emails & sync","Emails at sync",false
"English","English",true
"Enter container counts to see the breakdown.","Ilagay ang bilang ng container para makita ang breakdown.",false
"Enter the 6-digit code from your authenticator app to finish signing in.","Ilagay ang 6-digit code mula sa iyong authenticator app para matapos mag-sign in.",false
"Enter the new email address.","Ilagay ang bagong email address.",false
"Enter the service name first.","I-type muna ang pangalan ng service.",false
"Enter the shipping line name first.","I-type muna ang pangalan ng shipping line.",false
"Enter the vessel name and voyage number.","Ilagay ang vessel name at voyage number.",false
"Enter your account email and we’ll send you a link to set a new password.","Ilagay ang email ng iyong account at padpadalhan ka namin ng link para magtakda ng bagong password.",false
"Enter your email above first, then resend.","Ilagay muna ang iyong email sa itaas, tapos i-resend.",false
"Entry","Entry",true
"Entry {entry}","Entry {entry}",true
"Entry {n}","Entry {n}",true
"Entry Number","Entry Number",true
"ERP","ERP",true
"ERP control no. (OR-INV / BI-INV)","ERP control no. (OR-INV / BI-INV)",true
"Estimate","Tantya",false
"Estimate charges","I-estimate ang charges",false
"Estimate charges before you file","Tantiyahin ang singil bago mag-file",false
"Estimate your charges before filing — enter how many containers need each service. The official amount is confirmed on the Service Invoice at the KTC office.","Tantyahin ang iyong charges bago mag-file — ilagay kung ilang container ang kailangan ng bawat service. Ang opisyal na halaga ay kinukumpirma sa Service Invoice sa KTC office.",false
"Estimated total","Tinatayang kabuuan",false
"Every order you file shows here with its live status and serving number. Open one to ""View charges & pay"" (upload your deposit slip) and to Print the A6 slip once it's approved. The ""Now serving"" board up top helps you time your trip to the terminal.","Lahat ng order na ifa-file mo ay lalabas dito kasama ang live na status at serving number nito. Buksan ang isa para ""View charges & pay"" (i-upload ang iyong deposit slip) at para i-Print ang A6 slip kapag aprubado na. Ang ""Now serving"" board sa itaas ang tutulong sa iyong tantyahin ang pagpunta mo sa terminal.",false
"Everything the portal records — who did what, and when.","Lahat ng naitatala ng portal — kung sino ang gumawa, at kailan.",false
"Export days","Export days",true
"File a Job Order","Mag-file ng Job Order",false
"file a new job order","mag-file ng bagong job order",false
"File a new Job Order. We'll walk you through the form the first time you open it.","Mag-file ng bagong Job Order. I-guiguide ka namin sa job order form sa unang pagbukas mo nito.",false
"File another","Mag-file ng isa pa",false
"File for a Customer","Mag-file para sa Customer",false
"File for X-ray, DEA or OOG stripping services","Mag-file para sa X-ray, DEA o OOG stripping na serbisyo",false
"File JO on behalf of a customer (walk-ins / in-house)","Mag-file ng JO para sa isang customer (walk-ins / in-house)",false
"File Job Order","I-file ang Job Order",false
"File Job Orders for container terminal services from anywhere, anytime. No more queueing at the office. Here's a quick look around.","Mag-file ng Job Orders para sa mga container terminal service online. Wala nang pila sa opisina. Heto ang quick tour natin.",false
"File job orders for terminal services and track them through processing.","Mag-file ng mga Job Order para sa mga serbisyo ng terminal at i-track ang mga ito habang pinoproseso.",false
"Filed","Naisumite",false
"filed {date}","isinumite {date}",false
"Filing…","Fina-file…",false
"Filipino","Filipino",true
"Finish Disch.","Tapos Disch.",false
"Finish Discharging","Finish Discharging",true
"fix & resubmit","ayusin at i-resubmit",false
"Fix & resubmit","Ayusin at i-submit ulit",false
"for","para kay",false
"For X-ray / DEA / OOG stripping service orders.","Para sa X-ray / DEA / OOG stripping service orders.",false
"Forgot password?","Nakalimutan ang password?",false
"Forgot your password? Reset it by email →","Nakalimutan ang password? I-reset ito via email →",false
"Free storage days per shipping line","Free storage days kada shipping line",false
"Full name","Buong pangalan",false
"Full name can’t be empty.","Hindi pwedeng walang laman ang full name.",false
"Gate","Gate",true
"GCash:","GCash:",true
"Get verified","Mag-verify",false
"Go to start page","Pumunta sa start page",false
"Grant access","Magbigay ng access",false
"has been approved and notified by email.","ay na-approve na at na-notify sa email.",false
"held and can’t be processed until your account is verified","naka-hold at hindi mapoproseso hangga't hindi na-verify ang iyong account",false
"Hide bulk paste","Itago ang bulk paste",false
"History","History",true
"Hold for info","I-hold para sa info",false
"Hold for information","I-hold para sa impormasyon",false
"Home","Home",true
"How to pay","Paano magbayad",false
"HTTP {status}","HTTP {status}",true
"I have read and agree to the","Nabasa ko na at sumasang-ayon ako sa",false
"I’m still here — keep me signed in","Nandito pa ako — panatilihing naka-sign in",false
"ID unreadable — ask to re-upload","Hindi mabasa ang ID — pakiusap na i-upload ulit",false
"If an order needs port-services moves (DEA / inspection), use Assess RPS on its card to record the moves — they bill per move on top of the base. Most orders need none.","Kung may kailangang port-services moves ang isang order (DEA / inspection), gamitin ang Assess RPS sa card nito para i-record ang mga move — sinisingil ang mga ito kada move bukod sa base. Karamihan ng order ay walang kailangan.",false
"Import days","Import days",true
"Imported {count} call(s).","Na-import ang {count} na call.",false
"Imported {n} row(s) (pending; add address/TIN/2303 to approve).","Na-import ang {n} row(s) (naghihintay; idagdag ang address/TIN/2303 para ma-approve).",false
"inactive","hindi aktibo",false
"Inactivity warning","Babala sa inactivity",false
"Includes","Kasama",false
"Information needed:","Kailangang impormasyon:",false
"Internal KTC staff with admin access. Managed separately from brokers.","Internal na KTC staff na may admin access. Hiwalay na pinamamahalaan mula sa mga broker.",false
"Invoice no. (e.g. 001323)","Invoice no. (hal. 001323)",false
"is computed (finish discharging + the line's import free-days); a call drops off once its last free day passes. Free-days per line are set by admin in Settings.","ay kinukwenta (tapos ng discharging + import free-days ng line); mawawala ang isang call kapag lumampas na ang huling free day nito. Ang free-days kada line ay ise-set ng admin sa Settings.",false
"Job order history","History ng Job Order",false
"Job order not found.","Hindi nahanap ang Job Order.",false
"Job orders","Job Orders",false
"Job Orders","Job Orders",true
"Just refreshed — try again in a few seconds","Kaka-refresh lang — subukan ulit sa ilang segundo",false
"Keep it","Huwag na lang",false
"Keep it on","Panatilihing naka-on",false
"KTC — Active Vessels","KTC — Active Vessels",true
"KTC Active Vessels","KTC Active Vessels",true
"KTC Container Terminal Corp","KTC Container Terminal Corp",true
"KTC Customer Agreement","KTC Customer Agreement",true
"KTC Customer Agreement ({version})","KTC Customer Agreement ({version})",true
"KTC Customer Agreement (Terms & Conditions)","KTC Customer Agreement (Terms & Conditions)",true
"KTC Online Portal","KTC Online Portal",true
"KTC Online Portal — Container Terminal Services","KTC Online Portal — Container Terminal Services",true
"Language","Wika",false
"Last free day","Huling free day",false
"Last Free Day","Huling Free Day",false
"LAST FREE DAY","LAST FREE DAY",true
"Last free day & sharing","Last free day at pag-share",false
"Last Free Day computes itself (finish discharging + the line's free-days), and past calls drop off automatically. Tap 📸 Snapshot to share the active vessels straight to your Viber group, and switch to the Calendar view for arrivals by month.","Awtomatikong kinukwenta ang Last Free Day (tapos ang discharging + ang free-days ng line), at awtomatikong nawawala ang mga lumipas na call. I-tap ang 📸 Snapshot para i-share ang mga aktibong vessel diretso sa iyong Viber group, at mag-switch sa Calendar view para sa mga arrival kada buwan.",false
"Line","Line",true
"Loading history…","Nilo-load ang history…",false
"Loading job orders","Niloload ang mga job order",false
"Loading…","Naglo-load…",false
"Lock editing again","I-lock ulit ang pag-edit",false
"Locked against accidental edits.","Naka-lock laban sa di-sinasadyang pagbabago.",false
"Logs","Logs",true
"Look up a container","Maghanap ng container",false
"Lost your authenticator? The owner can remove the factor from the server so you can sign in and re-enroll.","Nawala ang iyong authenticator? Pwedeng alisin ng owner ang factor sa server para makapag-sign in ka at makapag-enroll ulit.",false
"Madayaw! Welcome to the KTC Online Portal","Madayaw! Welcome to the KTC Online Portal",true
"Manage consignees","I-manage ang consignees",false
"Manage customers","I-manage ang customers",false
"Manual","Gabay",false
"Mark completed","Markahang tapos na",false
"Marks the {line} service done — the order completes when every service is done","Mamarkahan ang {line} service na tapos na — matatapos ang order kapag tapos na lahat ng service",false
"Message","Message",true
"Messenger doesn’t allow pre-filled messages — use Copy, then paste into the chat. Viber/SMS buttons work on devices with those apps installed.","Hindi pinapayagan ng Messenger ang pre-filled na message — gamitin ang Copy, tapos i-paste sa chat. Gumagana ang Viber/SMS buttons sa mga device na may naka-install na apps na iyon.",false
"Missing required columns. Download the template for the exact headers.","May kulang na required columns. I-download ang template para sa eksaktong headers.",false
"My Account","Aking Account",false
"My Job Orders","Mga Job Order Ko",false
